gene_symbol_A	hprd_id_A	protein_accession_A	gene_symbol_B	hrpd_id_B	protein_accession_B
ALDH1A1	1	NP_000680.2	ALDH1A1	1	NP_000680.2
ITGA7	2761	NP_001138468.1	CHRNA1	7	NP_001034612.1
PPP1R9A	16000	NP_060120.2	ACTG1	17	NP_001605.1
SRGN	1513	NP_002718.2	CD44	115	NP_000601.3
GRB7	3311	NP_005301.2	ERBB2	1281	NP_004439.2
PAK1	3995	AAC24716.1	ERBB2	1281	NP_004439.2
DLG4	4199	NP_001356.1	ERBB2	1281	NP_004439.2
PIK3R2	4404	NP_005018.1	ERBB2	1281	NP_004439.2
PTPN18	5961	NP_055184.2	ERBB2	1281	NP_004439.2
ERBB2IP	6090	AAK69431.1	ERBB2	1281	NP_004439.2
SMURF2	6901	NP_073576.1	ARHGAP5	4060	NP_001025226.1
NF2	6980	NP_000259.1	ERBB2	1281	NP_004439.2
CD82	9004	NP_002222.1	ERBB2	1281	NP_004439.2
ERRFI1	9218	NP_061821.1	ERBB2	1281	NP_004439.2
MMP7	1525	NP_002414.1	CD44	115	NP_000601.3
TOB1	9273	NP_005740.1	ERBB2	1281	NP_004439.2
MUC4	11829	NP_060876.5	ERBB2	1281	NP_004439.2
PICK1	16176	NP_036539.1	ERBB2	1281	NP_004439.2
SMURF2	6901	NP_073576.1	TXNIP	5964	NP_006463.3
DDX20	5859	NP_009135.4	ETV3	1282	NP_001138784.1
TLE1	2557	NP_005068.2	FOXG1	1283	NP_005240.3
TLE3	2558	NP_005069.2	FOXG1	1283	NP_005240.3
HDAC1	3143	NP_004955.2	FOXG1	1283	NP_005240.3
SMAD1	3356	NP_005891.1	FOXG1	1283	NP_005240.3
KDM5B	9251	NP_006609.3	FOXG1	1283	NP_005240.3
CD4	1740	NP_000607.1	CD44	115	NP_000601.3
SMURF2	6901	NP_073576.1	DAB2	3139	NP_001334.2
CBL	1320	NP_005179.2	VAV1	1284	NP_005419.2
PLCG1	1398	NP_002651.2	VAV1	1284	NP_005419.2
PRLR	1457	NP_000940.1	VAV1	1284	NP_005419.2
TYK2	1490	NP_003322.3	VAV1	1284	NP_005419.2
SMURF2	6901	NP_073576.1	DGCR2	8999	NP_005128.1
MAPK1	1496	NP_002736.3	VAV1	1284	NP_005419.2
VAV1	1284	NP_005419.2	RHOG	1537	NP_001656.2
HRAS	1813	NP_005334.1	VAV1	1284	NP_005419.2
BTK	2248	NP_000052.1	VAV1	1284	NP_005419.2
TGFBR1	1822	NP_004603.1	CD44	115	NP_000601.3
SYK	2514	NP_003168.2	VAV1	1284	NP_005419.2
SHB	2635	NP_003019.2	VAV1	1284	NP_005419.2
PRKCQ	2710	NP_006248.1	VAV1	1284	NP_005419.2
TEC	2786	NP_003206.2	VAV1	1284	NP_005419.2
IL6ST	2824	NP_002175.2	VAV1	1284	NP_005419.2
HNRNPK	2834	NP_002131.2	VAV1	1284	NP_005419.2
SLA	3060	NP_006739.2	VAV1	1284	NP_005419.2
PTK2B	3131	NP_004094.3	VAV1	1284	NP_005419.2
EZH2	3342	NP_004447.2	VAV1	1284	NP_005419.2
LCP2	3362	NP_005556.1	VAV1	1284	NP_005419.2
TGFBR2	1823	NP_001020018.1	CD44	115	NP_000601.3
ZYX	3592	NP_003452.1	VAV1	1284	NP_005419.2
SH3BP2	3657	NP_003014.3	VAV1	1284	NP_005419.2
SIAH2	3737	NP_005058.3	VAV1	1284	NP_005419.2
LAT	3832	NP_001014989.2	VAV1	1284	NP_005419.2
ARHGDIB	4162	NP_001166.3	VAV1	1284	NP_005419.2
SOCS1	4669	NP_003736.1	VAV1	1284	NP_005419.2
AOC3	4770	NP_003725.1	VAV1	1284	NP_005419.2
NEK3	4954	NP_002489.1	VAV1	1284	NP_005419.2
CBLB	5136	NP_733762.2	VAV1	1284	NP_005419.2
BLNK	5153	NP_037446.1	VAV1	1284	NP_005419.2
VAV2	2694	NP_001127870.1	CD44	115	NP_000601.3
RACGAP1	5402	NP_037409.2	VAV1	1284	NP_005419.2
PAG1	5772	NP_060910.3	VAV1	1284	NP_005419.2
DOCK2	9121	NP_004937.1	VAV1	1284	NP_005419.2
SMURF2	6901	NP_073576.1	FAM175B	13783	NP_115558.3
SMURF2	6901	NP_073576.1	ACBD3	8432	NP_073572.2
YES1	1285	NP_005424.1	YES1	1285	NP_005424.1
PECAM1	1425	NP_000433.3	YES1	1285	NP_005424.1
CD36	1430	NP_000063.2	YES1	1285	NP_005424.1
RPL10	2421	NP_006004.2	YES1	1285	NP_005424.1
MST1R	2545	NP_002438.2	YES1	1285	NP_005424.1
ERBB4	2767	NP_005226.1	CD44	115	NP_000601.3
TYRO3	2641	NP_006284.2	YES1	1285	NP_005424.1
ADAM12	4092	NP_003465.3	YES1	1285	NP_005424.1
NPHS1	4094	NP_004637.1	YES1	1285	NP_005424.1
OCLN	4191	NP_002529.1	YES1	1285	NP_005424.1
DLG4	4199	NP_001356.1	YES1	1285	NP_005424.1
CD2AP	5026	NP_036252.1	YES1	1285	NP_005424.1
TRPV4	5667	NP_067638.3	YES1	1285	NP_005424.1
SMURF2	6901	NP_073576.1	SF3A2	2877	NP_009096.2
GP6	10406	BAB12247.1	YES1	1285	NP_005424.1
TP53BP2	11803	NP_001026855.2	YES1	1285	NP_005424.1
TIAM1	2820	NP_003244.2	CD44	115	NP_000601.3
SP1	1796	NP_612482.2	REL	1286	NP_002899.1
ELF1	1808	NP_758961.1	REL	1286	NP_002899.1
SMURF2	6901	NP_073576.1	ACOX3	4552	NP_003492.2
SMURF2	6901	NP_073576.1	RNF111	9318	NP_060080.6
NKRF	2341	NP_060014.2	REL	1286	NP_002899.1
TBP	2511	NP_003185.1	REL	1286	NP_002899.1
SMURF2	6901	NP_073576.1	TMEM139	8298	NP_699176.1
SMURF2	6901	NP_073576.1	LAPTM5	3280	NP_006753.1
MAPK8	3100	NP_620637.1	REL	1286	NP_002899.1
SMURF2	6901	NP_073576.1	SNRNP70	1617	NP_003080.2
DMP1	2989	NP_004398.1	CD44	115	NP_000601.3
PPP4C	3615	NP_002711.1	REL	1286	NP_002899.1
NUP155	5984	NP_705618.1	ZFYVE9	4782	NP_004790.2
SUMF2	6400	NP_001123541.1	ZFYVE9	4782	NP_004790.2
ETS2	1263	NP_005230.1	ZFYVE9	4782	NP_004790.2
SMAD7	4241	NP_005895.1	ZNF107	18669	NP_001013768.1
SMAD7	4241	NP_005895.1	ZBTB44	13692	NP_054874.3
SMAD7	4241	NP_005895.1	TTF2	5280	NP_003585.3
HSPA8	7205	NP_006588.1	REL	1286	NP_002899.1
SMAD7	4241	NP_005895.1	MYOD1	1166	NP_002469.2
GTF2B	8928	NP_001505.1	REL	1286	NP_002899.1
ARHGEF1	3511	NP_945353.1	CD44	115	NP_000601.3
SMAD7	4241	NP_005895.1	SOX5	18086	NP_008871.3
SMAD7	4241	NP_005895.1	ASH1L	6416	NP_060959.2
SMAD7	4241	NP_005895.1	ZBTB11	15690	NP_055230.2
REL	1286	NP_002899.1	CALM1	241	NP_008819.1
SMAD7	4241	NP_005895.1	SOX13	9205	AAC83687.1
KIT	1287	NP_000213.1	KIT	1287	NP_000213.1
LYN	1301	NP_002341.1	KIT	1287	NP_000213.1
PIK3R1	1381	NP_852664.1	KIT	1287	NP_000213.1
PLCG1	1398	NP_002651.2	KIT	1287	NP_000213.1
PTPN11	1470	NP_002825.3	KIT	1287	NP_000213.1
LGALS13	16375	NP_037400.1	ACTG1	17	NP_001605.1
NF2	6980	NP_000259.1	CD44	115	NP_000601.3
PTPN6	1475	NP_536859.1	KIT	1287	NP_000213.1
PRKCA	1498	NP_002728.1	KIT	1287	NP_000213.1
KITLG	1698	NP_000890.1	KIT	1287	NP_000213.1
SRC	1819	NP_005408.1	KIT	1287	NP_000213.1
MATK	2496	NP_002369.2	KIT	1287	NP_000213.1
KIT	1287	NP_000213.1	STAT1	2777	NP_009330.1
PTPRO	2784	NP_109592.1	KIT	1287	NP_000213.1
TEC	2786	NP_003206.2	KIT	1287	NP_000213.1
GRB7	3311	NP_005301.2	KIT	1287	NP_000213.1
GRB10	3312	NP_005302.3	KIT	1287	NP_000213.1
FCGR3A	903	NP_000560.5	CD38	116	NP_001766.2
CRKL	3596	NP_005198.1	KIT	1287	NP_000213.1
DOK1	4228	NP_001372.1	KIT	1287	NP_000213.1
PIK3R2	4404	NP_005018.1	KIT	1287	NP_000213.1
SOCS1	4669	NP_003736.1	KIT	1287	NP_000213.1
GRAP	5062	NP_006604.1	KIT	1287	NP_000213.1
GRAP2	5156	NP_004801.1	KIT	1287	NP_000213.1
SH2B3	5480	NP_005466.1	KIT	1287	NP_000213.1
CD81	8924	NP_004347.1	KIT	1287	NP_000213.1
MPDZ	9155	NP_003820.2	KIT	1287	NP_000213.1
SPRED1	11601	NP_689807.1	KIT	1287	NP_000213.1
LCK	1080	NP_005347.3	CD38	116	NP_001766.2
STAP1	16053	NP_036240.1	KIT	1287	NP_000213.1
SH2B2	16097	NP_066189.3	KIT	1287	NP_000213.1
SPRED2	18100	NP_861449.2	KIT	1287	NP_000213.1
FGR	1288	NP_005239.1	FGR	1288	NP_005239.1
CBL	1320	NP_005179.2	FGR	1288	NP_005239.1
FGR	1288	NP_005239.1	SRC	1819	NP_005408.1
WAS	2314	NP_000368.1	FGR	1288	NP_005239.1
CD24	2510	NP_037362.1	FGR	1288	NP_005239.1
SYK	2514	NP_003168.2	FGR	1288	NP_005239.1
PTK2	2859	NP_005598.3	FGR	1288	NP_005239.1
PECAM1	1425	NP_000433.3	CD38	116	NP_001766.2
DAB2	3139	NP_001334.2	FGR	1288	NP_005239.1
CCR3	3167	NP_001828.1	FGR	1288	NP_005239.1
FGR	1288	NP_005239.1	HCLS1	3199	NP_005326.2
SLAMF1	4603	NP_003028.1	FGR	1288	NP_005239.1
INPP5D	9033	NP_001017915.1	FGR	1288	NP_005239.1
EBNA1BP2	16849	NP_006815.2	FGF3	1289	NP_005238.1
DLL4	5540	NP_061947.1	NOTCH4	1290	NP_004548.3
MAML1	5665	NP_055572.1	NOTCH4	1290	NP_004548.3
FBXW7	5888	NP_361014.1	NOTCH4	1290	NP_004548.3
INS	1455	NP_000198.1	NOV	1291	NP_002505.1
CD4	1740	NP_000607.1	CD38	116	NP_001766.2
NOTCH1	1827	NP_060087.3	NOV	1291	NP_002505.1
DLL1	5957	NP_005609.3	NOV	1291	NP_002505.1
S100A4	15914	NP_002952.1	NOV	1291	NP_002505.1
NFATC1	2729	NP_765975.1	PIM1	1292	NP_002639.1
PTPRO	2784	NP_109592.1	PIM1	1292	NP_002639.1
SND1	3714	AAP88787.1	PIM1	1292	NP_002639.1
CBX3	5130	NP_057671.2	PIM1	1292	NP_002639.1
CBX1	5149	NP_006798.1	PIM1	1292	NP_002639.1
NHEJ1	7784	NP_079058.1	NHEJ1	7784	NP_079058.1
FZD5	3427	NP_003459.2	WNT5A	1293	NP_003383.2
C9	408	NP_001728.1	CD59	117	NP_000602.1
ROR2	3822	NP_004551.2	WNT5A	1293	NP_003383.2
FZD1	4558	NP_003496.1	WNT5A	1293	NP_003383.2
PTPN6	1475	NP_536859.1	ROS1	1295	NP_002935.2
ABL1	1809	NP_009297.2	ROS1	1295	NP_002935.2
VAV3	5706	NP_006104.4	ROS1	1295	NP_002935.2
GDI2	2863	NP_001485.2	RAB8A	1296	NP_005361.2
OPTN	3891	NP_068815.2	RAB8A	1296	NP_005361.2
MAP4K2	4408	NP_004570.2	RAB8A	1296	NP_005361.2
RPH3AL	5345	NP_008918.1	RAB8A	1296	NP_005361.2
C8A	409	NP_000553.1	CD59	117	NP_000602.1
