entrezgene_id_A	entrezgene_id_B	biogrid_id_A	gene_symbol_A	biogrid_id_B	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	taxid_interactor_A	taxid_interactor_B	interaction_identifier
6416	2318	112315	MAP2K4	108607	FLNC	MI:0018	Marti A 	1997	9006895	9606	9606	103
84665	88	124185	MYPN	106603	ACTN2	MI:0018	Bang ML	2001	11309420	9606	9606	117
90	2339	106605	ACVR1	108625	FNTA	MI:0018	Wang T 	1996	8599089	9606	9606	183
2624	5371	108894	GATA2	111384	PML	MI:0018	Tsuzuki S 	2000	10938104	9606	9606	278
6118	6774	112038	RPA2	112651	STAT3	MI:0018	Kim J 	2000	10875894	9606	9606	418
375	23163	106870	ARF1	116775	GGA3	MI:0018	DellAngelica EC 	2000	10747089	9606	9606	586
377	23647	106872	ARF3	117174	ARFIP2	MI:0018	Kanoh H 	1997	9038142	9606	9606	612
377	27236	106872	ARF3	118084	ARFIP1	MI:0018	Kanoh H 	1997	9038142	9606	9606	617
54464	226	119970	XRN1	106728	ALDOA	MI:0018	Lehner B 	2004	15231747	9606	9606	663
351	10513	106848	APP	115769	APPBP2	MI:0018	Zheng P 	1998	9843960	9606	9606	866
333	1600	106830	APLP1	107970	DAB1	MI:0018	Homayouni R 	1999	10460257	9606	9606	917
10370	7020	115649	CITED2	112878	TFAP2A	MI:0018	Braganca J 	2003	12586840	9606	9606	1156
2033	7020	108347	EP300	112878	TFAP2A	MI:0018	Braganca J 	2003	12586840	9606	9606	1161
338	4547	106835	APOB	110641	MTTP	MI:0018	Bradbury P 	1999	9915855	9606	9606	1206
409	5900	106902	ARRB2	111836	RALGDS	MI:0018	Bhattacharya M 	2002	12105416	9606	9606	1427
1436	2885	107823	CSF1R	109142	GRB2	MI:0018	Mancini A 	1997	9380408	9606	9606	1611
7916	2885	113646	PRRC2A	109142	GRB2	MI:0018	Lehner B 	2004	14667819	9606	9606	1695
27257	4677	118104	LSM1	110758	NARS	MI:0018	Lehner B 	2004	15231747	9606	9606	1783
6521	22950	112412	SLC4A1	116605	SLC4A1AP	MI:0018	Chen J 	1998	9422766	9606	9606	1888
602	580	107074	BCL3	107056	BARD1	MI:0018	Dechend R	1999	10362352	9606	9606	1958
153	10755	106662	ADRB1	115978	GIPC1	MI:0018	Hu LA 	2003	12724327	9606	9606	2006
672	466	107140	BRCA1	106956	ATF1	MI:0018	Houvras Y 	2000	10945975	9606	9606	2368
672	4436	107140	BRCA1	110573	MSH2	MI:0018	Wang Q 	2001	11498787	9606	9606	2398
672	580	107140	BRCA1	107056	BARD1	MI:0018	Wu LC 	1996	8944023	9606	9606	2411
672	2956	107140	BRCA1	109211	MSH6	MI:0018	Wang Q 	2001	11498787	9606	9606	2424
421	1013	106914	ARVCF	107448	CDH15	MI:0018	Kaufmann U 	2000	11058098	9606	9606	2466
5092	775	111125	PCBD1	107229	CACNA1C	MI:0018	Waters PJ 	2001	11461190	9606	9606	2721
5664	823	111643	PSEN2	107273	CAPN1	MI:0018	Shinozaki K 	1998	9852298	9606	9606	2765
825	7273	107275	CAPN3	113124	TTN	MI:0018	Ono Y 	1998	9642272	9606	9606	2785
3708	767	109913	ITPR1	107222	CA8	MI:0018	Hirota J 	2003	12611586	9606	9606	2827
9223	1499	114655	MAGI1	107880	CTNNB1	MI:0018	Dobrosotskaya IY 	2000	10772923	9606	9606	3024
5925	1523	111860	RB1	107903	CUX1	MI:0018	Gupta S 	2003	12891711	9606	9606	3189
7251	1026	113102	TSG101	107460	CDKN1A	MI:0018	Oh H 	2002	11943869	9606	9606	3224
4998	4171	111040	ORC1	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3312
5000	4171	111042	ORC4	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3313
4174	4171	110342	MCM5	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3315
8317	4171	113914	CDC7	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3317
4999	4171	111041	ORC2	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3324
6118	4171	112038	RPA2	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3325
10926	4171	116129	DBF4	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3326
10270	4171	115561	AKAP8	110339	MCM2	MI:0018	Eide T 	2003	12740381	9606	9606	3329
4171	4171	110339	MCM2	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3330
6117	4171	112037	RPA1	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3331
6119	4171	112039	RPA3	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3332
5001	4171	111043	ORC5	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3338
4172	4171	110340	MCM3	110339	MCM2	MI:0018	Kneissl M 	2003	12614612	9606	9606	3339
7534	993	113366	YWHAZ	107428	CDC25A	MI:0018	Wang Z 	2002	11912208	9606	9606	3381
81704	998	123577	DOCK8	107433	CDC42	MI:0018	Ruusala A 	2004	15304341	9606	9606	3485
9322	998	114733	TRIP10	107433	CDC42	MI:0018	Aspenstroem P 	1997	9210375	9606	9606	3532
