uniprotkb_A	uniprotkb_B	biogrid_A	biogrid_B	gene_symbol_A	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	interaction_type	interaction_identifier
P45985	Q14315	112315	108607	MAP2K4	FLNC	MI:0018	Marti A	1997	9006895	MI:0407	103
Q86TC9	P35609	124185	106603	MYPN	ACTN2	MI:0018	Bang ML	2001	11309420	MI:0407	117
Q04771	P49354	106605	108625	ACVR1	FNTA	MI:0018	Wang T	1996	8599089	MI:0407	183
P23769	P29590	108894	111384	GATA2	PML	MI:0018	Tsuzuki S	2000	10938104	MI:0407	278
P15927	P40763	112038	112651	RPA2	STAT3	MI:0018	Kim J	2000	10875894	MI:0407	418
P84077	Q9NZ52	106870	116775	ARF1	GGA3	MI:0018	DellAngelica EC	2000	10747089	MI:0407	586
P61204	P53365	106872	117174	ARF3	ARFIP2	MI:0018	Kanoh H	1997	9038142	MI:0407	612
P61204	P53367	106872	118084	ARF3	ARFIP1	MI:0018	Kanoh H	1997	9038142	MI:0407	617
Q8IZH2	P04075	119970	106728	XRN1	ALDOA	MI:0018	Lehner B	2004	15231747	MI:0407	663
P05067	Q92624	106848	115769	APP	APPBP2	MI:0018	Zheng P	1998	9843960	MI:0407	866
P51693	O75553	106830	107970	APLP1	DAB1	MI:0018	Homayouni R	1999	10460257	MI:0407	917
Q99967	P05549	115649	112878	CITED2	TFAP2A	MI:0018	Braganca J	2003	12586840	MI:0407	1156
Q09472	P05549	108347	112878	EP300	TFAP2A	MI:0018	Braganca J	2003	12586840	MI:0407	1161
P04114	P55157	106835	110641	APOB	MTTP	MI:0018	Bradbury P	1999	9915855	MI:0407	1206
P32121	Q12967	106902	111836	ARRB2	RALGDS	MI:0018	Bhattacharya M	2002	12105416	MI:0407	1427
P07333	P62993	107823	109142	CSF1R	GRB2	MI:0018	Mancini A	1997	9380408	MI:0407	1611
P48634	P62993	113646	109142	PRRC2A	GRB2	MI:0018	Lehner B	2004	14667819	MI:0407	1695
O15116	O43776	118104	110758	LSM1	NARS	MI:0018	Lehner B	2004	15231747	MI:0407	1783
P02730	Q9BWU0	112412	116605	SLC4A1	SLC4A1AP	MI:0018	Chen J	1998	9422766	MI:0407	1888
P20749	Q99728	107074	107056	BCL3	BARD1	MI:0018	Dechend R	1999	10362352	MI:0407	1958
P08588	O14908	106662	115978	ADRB1	GIPC1	MI:0018	Hu LA	2003	12724327	MI:0407	2006
P38398	P18846	107140	106956	BRCA1	ATF1	MI:0018	Houvras Y	2000	10945975	MI:0407	2368
P38398	P43246	107140	110573	BRCA1	MSH2	MI:0018	Wang Q	2001	11498787	MI:0407	2398
P38398	Q99728	107140	107056	BRCA1	BARD1	MI:0018	Wu LC	1996	8944023	MI:0407	2411
P38398	P52701	107140	109211	BRCA1	MSH6	MI:0018	Wang Q	2001	11498787	MI:0407	2424
O00192	P55291	106914	107448	ARVCF	CDH15	MI:0018	Kaufmann U	2000	11058098	MI:0407	2466
P61457	Q13936	111125	107229	PCBD1	CACNA1C	MI:0018	Waters PJ	2001	11461190	MI:0407	2721
P49810	P07384	111643	107273	PSEN2	CAPN1	MI:0018	Shinozaki K	1998	9852298	MI:0407	2765
P20807	Q8WZ42	107275	113124	CAPN3	TTN	MI:0018	Ono Y	1998	9642272	MI:0407	2785
Q14643	P35219	109913	107222	ITPR1	CA8	MI:0018	Hirota J	2003	12611586	MI:0407	2827
Q96QZ7	P35222	114655	107880	MAGI1	CTNNB1	MI:0018	Dobrosotskaya IY	2000	10772923	MI:0407	3024
P06400	P39880	111860	107903	RB1	CUX1	MI:0018	Gupta S	2003	12891711	MI:0407	3189
Q99816	P38936	113102	107460	TSG101	CDKN1A	MI:0018	Oh H	2002	11943869	MI:0407	3224
Q13415	P49736	111040	110339	ORC1	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3312
O43929	P49736	111042	110339	ORC4	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3313
P33992	P49736	110342	110339	MCM5	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3315
O00311	P49736	113914	110339	CDC7	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3317
Q13416	P49736	111041	110339	ORC2	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3324
P15927	P49736	112038	110339	RPA2	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3325
Q9UBU7	P49736	116129	110339	DBF4	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3326
O43823	P49736	115561	110339	AKAP8	MCM2	MI:0018	Eide T	2003	12740381	MI:0407	3329
P49736	P49736	110339	110339	MCM2	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3330
P27694	P49736	112037	110339	RPA1	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3331
P35244	P49736	112039	110339	RPA3	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3332
O43913	P49736	111043	110339	ORC5	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3338
P25205	P49736	110340	110339	MCM3	MCM2	MI:0018	Kneissl M	2003	12614612	MI:0407	3339
P63104	P30304	113366	107428	YWHAZ	CDC25A	MI:0018	Wang Z	2002	11912208	MI:0407	3381
Q8NF50	P60953	123577	107433	DOCK8	CDC42	MI:0018	Ruusala A	2004	15304341	MI:0407	3485
Q15642	P60953	114733	107433	TRIP10	CDC42	MI:0018	Aspenstroem P	1997	9210375	MI:0407	3532
Q16667	P24941	107467	107452	CDKN3	CDK2	MI:0018	Yeh CT	2003	12745075	MI:0407	3546
Q99708	P28749	111867	111868	RBBP8	RBL1	MI:0018	Fusco C	1998	9721205	MI:0407	3626
P61296	P07199	114850	107488	HAND2	CENPB	MI:0018	Dai YS	2002	11812799	MI:0407	3639
