uniprotkb_A	uniprotkb_B	gene_symbol_A	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	interaction_type	interaction_identifier
P49418	O43426	AMPH	SYNJ1	MI:0084	Cestra	1999	10542231	MI:0407	EBI-7121552
P49418	O43426	AMPH	SYNJ1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7122684
P49418	O43426	AMPH	SYNJ1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7122727
P49418	O43426	AMPH	SYNJ1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7122766
Q99961	O43426	SH3GL1	SYNJ1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7122802
O43426	Q99961	SYNJ1	SH3GL1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7122861
O43426	Q99961	SYNJ1	SH3GL1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7122913
P49418	Q05193	AMPH	DNM1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7122936
P49418	Q05193	AMPH	DNM1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7123032
Q99961	Q05193	SH3GL1	DNM1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7122975
Q99961	Q05193	SH3GL1	DNM1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7123110
P49418	Q05193	AMPH	DNM1	MI:0081	Cestra	1999	10542231	MI:0407	EBI-7123071
P50570	Q99961	DNM2	SH3GL1	MI:0081	Cestra	1999	10542231	MI:0914	EBI-7123147
P49418	P50570	AMPH	DNM2	MI:0081	Cestra	1999	10542231	MI:0914	EBI-7123205
Q9UQ16	P49418	DNM3	AMPH	MI:0081	Cestra	1999	10542231	MI:0914	EBI-7123241
Q9UQ16	Q99961	DNM3	SH3GL1	MI:0081	Cestra	1999	10542231	MI:0914	EBI-7123279
Q13643	Q14192	FHL3	FHL2	MI:0055	Li	2001	11135358	MI:0915	EBI-7471457
Q13643	Q14192	FHL3	FHL2	MI:0018	Li	2001	11135358	MI:0915	EBI-7471485
P42566	P42566	EPS15	EPS15	MI:0019	Tebar	1997	9182572	MI:0915	EBI-8647150
P42566	P42566	EPS15	EPS15	MI:0030	Tebar	1997	9182572	MI:0915	EBI-8647178
P42566	P42566	EPS15	EPS15	MI:0030	Tebar	1997	9182572	MI:0915	EBI-8647198
P33993	Q14192	MCM7	FHL2	MI:0018	Chan	2000	10649446	MI:0915	EBI-7181389
P10275	Q14192	AR	FHL2	MI:0019	M	2000	10654935	MI:0915	EBI-7184012
P10275	Q14192	AR	FHL2	MI:0018	M	2000	10654935	MI:0915	EBI-7184030
Q07889	Q8IZP0	SOS1	ABI1	MI:0096	Scita	1999	10499589	MI:0407	EBI-7087722
Q8IZP0	Q07889	ABI1	SOS1	MI:0019	Scita	1999	10499589	MI:0915	EBI-7087744
P00519	Q92558	ABL1	WASF1	MI:0096	Westphal	2000	10970852	MI:0407	EBI-7380789
P00519	Q92558	ABL1	WASF1	MI:0019	Westphal	2000	10970852	MI:0915	EBI-7380816
P00519	Q92558	ABL1	WASF1	MI:0428	Westphal	2000	10970852	MI:0403	EBI-7380866
P49418	Q05193	AMPH	DNM1	MI:0096	Grabs	1997	9148966	MI:0407	EBI-8633434
P49418	Q05193	AMPH	DNM1	MI:0411	Grabs	1997	9148966	MI:0407	EBI-8633463
Q8NFH8	Q9Y6I3	REPS2	EPN1	MI:0096	Ikeda	1998	9422736	MI:0407	EBI-8673800
Q9Y4J8	P46939	DTNA	UTRN	MI:0049	Tommasi	2000	10767429	MI:0407	EBI-7265144
Q13474	Q9Y4J8	DRP2	DTNA	MI:0049	Tommasi	2000	10767429	MI:0407	EBI-7265166
P11532	Q9Y4J8	DMD	DTNA	MI:0049	Tommasi	2000	10767429	MI:0407	EBI-7265236
P46939	Q14118	UTRN	DAG1	MI:0096	Tommasi	2000	10767429	MI:0407	EBI-7265281
Q14118	P46939	DAG1	UTRN	MI:0084	Tommasi	2000	10767429	MI:0407	EBI-7265335
P27986	P10398	PIK3R1	ARAF	MI:0096	King	2000	10967104	MI:0407	EBI-7379195
