uniprotkb_A	uniprotkb_B	hprd_A	hprd_B	gene_symbol_A	gene_symbol_B	protein_accession_A	protein_accession_B
P00352	P00352	1	1	ALDH1A1	ALDH1A1	NP_000680.2	NP_000680.2
Q13153	Q13153	3995	1281	PAK1	ERBB2	AAC24716.1	NP_004439.2
P78352	P78352	4199	1281	DLG4	ERBB2	NP_001356.1	NP_004439.2
O00459	O00459	4404	1281	PIK3R2	ERBB2	NP_005018.1	NP_004439.2
Q96RT1	Q96RT1	6090	1281	ERBB2IP	ERBB2	AAK69431.1	NP_004439.2
P35240	P35240	6980	1281	NF2	ERBB2	NP_000259.1	NP_004439.2
P50616	P50616	9273	1281	TOB1	ERBB2	NP_005740.1	NP_004439.2
P22681	P22681	1320	1284	CBL	VAV1	NP_005179.2	NP_005419.2
P16471	P16471	1457	1284	PRLR	VAV1	NP_000940.1	NP_005419.2
P29597	P29597	1490	1284	TYK2	VAV1	NP_003322.3	NP_005419.2
Q15464	Q15464	2635	1284	SHB	VAV1	NP_003019.2	NP_005419.2
Q04759	Q04759	2710	1284	PRKCQ	VAV1	NP_006248.1	NP_005419.2
P42680	P42680	2786	1284	TEC	VAV1	NP_003206.2	NP_005419.2
P40189	P40189	2824	1284	IL6ST	VAV1	NP_002175.2	NP_005419.2
Q15910	Q15910	3342	1284	EZH2	VAV1	NP_004447.2	NP_005419.2
Q13094	Q13094	3362	1284	LCP2	VAV1	NP_005556.1	NP_005419.2
O43255	O43255	3737	1284	SIAH2	VAV1	NP_005058.3	NP_005419.2
P52566	P52566	4162	1284	ARHGDIB	VAV1	NP_001166.3	NP_005419.2
Q16853	Q16853	4770	1284	AOC3	VAV1	NP_003725.1	NP_005419.2
P51956	P51956	4954	1284	NEK3	VAV1	NP_002489.1	NP_005419.2
Q8WV28	Q8WV28	5153	1284	BLNK	VAV1	NP_037446.1	NP_005419.2
Q9NWQ8	Q9NWQ8	5772	1284	PAG1	VAV1	NP_060910.3	NP_005419.2
P07947	P07947	1285	1285	YES1	YES1	NP_005424.1	NP_005424.1
P16284	P16284	1425	1285	PECAM1	YES1	NP_000433.3	NP_005424.1
P27635	P27635	2421	1285	RPL10	YES1	NP_006004.2	NP_005424.1
Q04912	Q04912	2545	1285	MST1R	YES1	NP_002438.2	NP_005424.1
Q06418	Q06418	2641	1285	TYRO3	YES1	NP_006284.2	NP_005424.1
O60500	O60500	4094	1285	NPHS1	YES1	NP_004637.1	NP_005424.1
Q16625	Q16625	4191	1285	OCLN	YES1	NP_002529.1	NP_005424.1
P78352	P78352	4199	1285	DLG4	YES1	NP_001356.1	NP_005424.1
Q9Y5K6	Q9Y5K6	5026	1285	CD2AP	YES1	NP_036252.1	NP_005424.1
Q9HBA0	Q9HBA0	5667	1285	TRPV4	YES1	NP_067638.3	NP_005424.1
Q9HCN6	Q9HCN6	10406	1285	GP6	YES1	BAB12247.1	NP_005424.1
P08047	P08047	1796	1286	SP1	REL	NP_612482.2	NP_002899.1
P20226	P20226	2511	1286	TBP	REL	NP_003185.1	NP_002899.1
P60510	P60510	3615	1286	PPP4C	REL	NP_002711.1	NP_002899.1
O75694	O75694	5984	4782	NUP155	ZFYVE9	NP_705618.1	NP_004790.2
Q8NBJ7	Q8NBJ7	6400	4782	SUMF2	ZFYVE9	NP_001123541.1	NP_004790.2
P15036	P15036	1263	4782	ETS2	ZFYVE9	NP_005230.1	NP_004790.2
O15105	O15105	4241	13692	SMAD7	ZBTB44	NP_005895.1	NP_054874.3
O15105	O15105	4241	5280	SMAD7	TTF2	NP_005895.1	NP_003585.3
