uniprotkb_A	uniprotkb_B	gene_symbol_A	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	interaction_type	interaction_identifier	intact_miscore
Q9UKT4	P63208	FBXO5	SKP1	MI:0018	Willard	2007	17380122	MI:0915	EBI-7340731	0.37
O43257	Q16539	ZNHIT1	MAPK14	MI:0018	Cuadrado	2007	17380123	MI:0915	EBI-7344425	0.72
Q15759	O43257	MAPK11	ZNHIT1	MI:0096	Cuadrado	2007	17380123	MI:0915	EBI-7344547	0.54
Q16539	O43257	MAPK14	ZNHIT1	MI:0096	Cuadrado	2007	17380123	MI:0915	EBI-7344495	0.72
Q12888	O43257	TP53BP1	ZNHIT1	MI:0096	Cuadrado	2007	17380123	MI:0915	EBI-7344562	0.52
Q16539	O43257	MAPK14	ZNHIT1	MI:0007	Cuadrado	2007	17380123	MI:0915	EBI-7344804	0.72
Q16539	O43257	MAPK14	ZNHIT1	MI:0007	Cuadrado	2007	17380123	MI:0915	EBI-7344835	0.72
Q16539	O43257	MAPK14	ZNHIT1	MI:0424	Cuadrado	2007	17380123	MI:0217	EBI-7344882	0.72
P15336	Q16539	ATF2	MAPK14	MI:0424	Cuadrado	2007	17380123	MI:0217	EBI-7344933	0.44
O43257	Q15759	ZNHIT1	MAPK11	MI:0424	Cuadrado	2007	17380123	MI:0217	EBI-7345004	0.54
P15336	Q15759	ATF2	MAPK11	MI:0424	Cuadrado	2007	17380123	MI:0217	EBI-7344968	0.44
Q16539	O43257	MAPK14	ZNHIT1	MI:0424	Cuadrado	2007	17380123	MI:0217	EBI-7345035	0.72
P0CG48	O43257	UBC	ZNHIT1	MI:0007	Cuadrado	2007	17380123	MI:0915	EBI-7345228	0.40
O43257	Q12888	ZNHIT1	TP53BP1	MI:0006	Cuadrado	2007	17380123	MI:0915	EBI-7345382	0.52
Q01959	P14416	SLC6A3	DRD2	MI:0096	Lee	2007	17380124	MI:0915	EBI-7347494	0.52
Q01959	P14416	SLC6A3	DRD2	MI:0096	Lee	2007	17380124	MI:0915	EBI-7347516	0.52
Q01959	P14416	SLC6A3	DRD2	MI:0096	Lee	2007	17380124	MI:0915	EBI-7347557	0.52
Q01959	P14416	SLC6A3	DRD2	MI:0405	Lee	2007	17380124	MI:0915	EBI-7347606	0.52
Q0VG06	O15360	FAAP100	FANCA	MI:0006	Ling	2007	17396147	MI:0915	EBI-7359829	0.56
Q8NB91	O15360	FANCB	FANCA	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359880	0.35
Q8NB91	Q8IYD8	FANCB	FANCM	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359880	0.35
Q8NB91	O15287	FANCB	FANCG	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359880	0.35
Q8NB91	Q9NW38	FANCB	FANCL	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359880	0.35
Q8NB91	Q0VG06	FANCB	FAAP100	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359880	0.56
